folder_name,content,sujeto_modelo
cepillandose,"Higiene: aquí se puede ver a un niño cepillándose los dientes frente al espejo, porque es importante mantener la limpieza bucal y cuidar la salud.",niño
lavando_manos,"Higiene: aquí se puede ver a un niño lavándose las manos con agua y jabón en el lavabo, porque es importante mantener la limpieza para cuidar la salud.",niño
peinandose,"Higiene: aquí se puede ver a un niño peinándose con cepillo frente al espejo, porque es importante mantener el cuidado personal y la limpieza.",niño
circulatorio,"Sistema circulatorio: aquí se puede ver un esquema del sistema circulatorio, mostrando el corazón, arterias y venas, porque transporta sangre, oxígeno y nutrientes a todo el cuerpo.",corazón
digestivo,"Sistema digestivo: aquí se puede ver un esquema del sistema digestivo, mostrando boca, esófago, estómago e intestinos, porque permite descomponer los alimentos y absorber los nutrientes necesarios para el cuerpo.",boca
locomotor,"Sistema locomotor: aquí se puede ver un esquema del sistema locomotor, mostrando huesos, articulaciones y músculos, porque permite el movimiento y sostiene el cuerpo humano.",hueso
respiratorio,"Sistema respiratorio: aquí se puede ver un esquema del sistema respiratorio, mostrando pulmones, tráquea y bronquios, porque permite la entrada de oxígeno y la salida de dióxido de carbono del cuerpo.",pulmón
burro,"Burros en su hábitat doméstico: estas imágenes muestran burros, su resistencia y comportamiento tranquilo, cómo interactúan con las personas y otros animales, y su papel en las actividades del entorno rural.",burro
caballo,"Caballo en su hábitat doméstico: estas imágenes muestran un caballo, su fuerza, elegancia y comportamiento en el entorno natural.",caballo
conejo,"Conejo en su hábitat natural: estas imágenes muestran un conejo, su comportamiento tranquilo y curioso, cómo interactúa con su entorno natural, y su adaptación al medio ambiente silvestre.",conejo
gallina,"Pollos de corral: estas imágenes muestran gallinas en una variedad de entornos, tanto en granjas como en prados. Las fotos capturan sus plumas de diferentes colores y su comportamiento en manada, destacando su naturaleza como aves de corral.",gallina
gato,"Gatos en su hábitat: estas imágenes muestran gatos de diferentes edades y colores, tanto dentro de un hogar como explorando al aire libre. Las fotos capturan su curiosidad, su elegancia y su comportamiento tranquilo y juguetón.",gato
oveja,"Ovejas en su hábitat doméstico: estas imágenes muestran ovejas, su comportamiento en rebaños, cómo interactúan entre ellas, y su papel en el entorno rural, incluyendo la alimentación, el pastoreo y el cuidado diario.",oveja
perro,"Perros en su hábitat doméstico: estas imágenes muestran perros, destacando su comportamiento amistoso, su relación con las personas y su vida en el hogar.",perro
vaca,"Vacas de granja: estas imágenes muestran una variedad de ganado en su hábitat, tanto pastando en campos abiertos como interactuando en grupos. Las fotos capturan diferentes razas y edades, resaltando su vida en el campo y sus distintos comportamientos.",ganado
cebra,"Cebras en su hábitat natural: estas imágenes muestran cebras, resaltando su característico pelaje a rayas, su comportamiento en manada y su interacción con el entorno natural.",cebra
cocodrilo,"Cocodrilo en su hábitat natural: estas imágenes muestran cocodrilos, destacando su fuerza, su piel escamosa característica y su comportamiento en la naturaleza.",cocodrilo
elefante,"Elefantes en su hábitat natural: estas imágenes muestran elefantes adultos y jóvenes, destacando su comportamiento social, su majestuosidad y su relación con la tierra y el agua en la naturaleza.",elefante
jirafa,"Jirafas en su entorno: estas imágenes muestran jirafas adultas y crías en su hábitat natural y en reservas, destacando su altura, elegancia, comportamiento social y el vínculo entre madre e cría.",jirafa
leon,"Animales salvajes: aquí se puede ver un león de frente en su hábitat, con algo de vegetación alrededor, porque es un animal salvaje que vive en la naturaleza.",león
lobo,"Lobos en su hábitat natural: estas imágenes muestran lobos, destacando su comportamiento en manada, su agilidad y su vida en la naturaleza.",lobo
mono,"Monos en su hábitat natural: estas imágenes muestran monos, destacando su agilidad, interacción social y comportamiento en la naturaleza.",mono
oso,"Osos grizzly en su hábitat natural: estas imágenes muestran osos grizzly, destacando su fuerza, tamaño imponente y comportamiento en la naturaleza.",oso
tigre,"Animales salvajes: aquí se puede ver un tigre de frente, un felino grande y fuerte, carnívoro, porque es un animal salvaje que vive en la naturaleza.",tigre
mariposa,"Ciclo de vida de la mariposa: aquí se puede ver un esquema del ciclo de vida de la mariposa, mostrando huevo, oruga, crisálida y mariposa adulta, porque ilustra las etapas de crecimiento y metamorfosis de este insecto.",mariposa
rana,"Ciclo de vida de la rana: aquí se puede ver un esquema del ciclo de vida de la rana, mostrando huevos, renacuajos y ranas adultas, porque ilustra las etapas de crecimiento y transformación de este anfibio.",rana
desierto,"Accidente geográfico: aquí se puede ver un desierto con extensas dunas de arena y un cielo despejado, porque es una formación natural que refleja las condiciones climáticas y geográficas de la región.",desierto
glaciares,"Accidente geográfico: aquí se puede ver un glaciar, con sus enormes masas de hielo y nieve, porque es una formación natural que refleja los procesos geológicos y climáticos de la región.",glaciar
isla,"Accidente geográfico: aquí se puede ver una isla rodeada de agua, con vegetación y playas, porque es una formación natural que forma parte del relieve y ecosistema de la región.",isla
montana,"Accidente geográfico: aquí se puede ver montañas con picos elevados y laderas cubiertas de vegetación, porque son formaciones naturales que caracterizan el relieve y el paisaje de la región.",montaña
volcan,"Accidente geográfico: aquí se puede ver un volcán con su cima prominente y laderas rocosas, algunas con vegetación, porque es una formación natural que refleja la actividad geológica de la región.",volcán
basilica_quito,"Edificio histórico: aquí se puede ver la Basílica del Voto Nacional en Quito, con su arquitectura gótica imponente y detalles ornamentales, porque es un patrimonio histórico y cultural que refleja la historia y la identidad de la ciudad.",basílica
alimentacion,"Derecho a la alimentación: aquí se puede ver a una familia reunida alrededor de la mesa, compartiendo comida casera y sonriendo juntos, porque todo niño tiene derecho a una alimentación adecuada.",familia
descanso,"Derecho al descanso: aquí se puede ver a un niño durmiendo tranquilamente en su cama, porque todo niño tiene derecho a descansar y recuperar energías",niño
educacion,"Derecho a la educación: aquí se puede ver a niños sentados en un aula con libros y cuadernos, escribiendo y escuchando a la maestra, porque todo niño tiene derecho a estudiar y aprender.",niño
salud,"Derecho a la salud: aquí se puede ver a niños sentados en una camilla mientras un médico revisa su presión, acompañados de sus padres atentos y sonrientes, porque todo niño tiene derecho a recibir atención médica.",niño
vivienda,"Derecho a una vivienda digna: aquí se puede ver a una familia frente a su casa limpia y ordenada, sonrientes y orgullosos de su hogar, porque todo niño tiene derecho a vivir en un lugar seguro.",familia
ayuda_cocina,"Ayudar en la cocina: aquí se puede ver a un niño ayudando a su mamá a mezclar ingredientes en un bol, siguiendo instrucciones mientras cocinan juntos, porque es responsabilidad de cada persona colaborar en las tareas del hogar.",niño
cuidar_mascota,"Cuidar a la mascota: aquí se puede ver a un niño sirviendo croquetas y agua a su perro en el patio, acariciándolo con cariño antes de que coma, porque es responsabilidad de cada persona cuidar y proteger a los animales.",perro
regar_plantas,"Regar las plantas: aquí se puede ver a una niña regando plantas y flores en el jardín de su casa, concentrada en cubrir toda la tierra con agua, porque es responsabilidad de cada persona cuidar el entorno y las plantas.",niña
sacar_basura,"Sacar la basura: aquí se puede ver a un niño llevando una bolsa de basura al contenedor frente a la casa, con cuidado de no derramar nada y asegurándose de cerrarla bien, porque es responsabilidad de cada persona mantener limpio su hogar.",niño
cumple,"Evento familiar: aquí se puede ver a una familia celebrando el cumpleaños de un niño, con pastel, globos y sonrisas, porque es un momento para compartir alegría y festejar juntos.",familia
navidad,"Evento familiar: aquí se puede ver a una familia celebrando la Navidad con gorros navideños, reunida alrededor del árbol decorado y compartiendo regalos, porque es un momento para disfrutar juntos y fortalecer los lazos familiares.",familia
